Filename,Category,Valence,Arousal,Dominance
COCO_val2014_000000562243.jpg,"['Disconnection', 'Doubt/Confusion']",0,-2,4
COCO_val2014_000000558171.jpg,"['Engagement', 'Excitement', 'Happiness']",2,3,3
COCO_train2014_000000369575.jpg,"['Aversion', 'Pleasure']",3,4,3
COCO_train2014_000000213009.jpg,"['Confidence', 'Excitement']",2,4,5
COCO_val2014_000000168683.jpg,"['Anticipation', 'Engagement']",1,2,2
COCO_train2014_000000186198.jpg,"['Anticipation', 'Peace']",2,2,3
COCO_train2014_000000006590.jpg,['Engagement'],2,-1,2
COCO_train2014_000000144608.jpg,"['Fatigue', 'Happiness']",2,2,1
COCO_val2014_000000121006.jpg,"['Confidence', 'Happiness']",3,1,1
COCO_train2014_000000497759.jpg,['Disquietment'],0,2,2
COCO_val2014_000000231589.jpg,"['Engagement', 'Excitement', 'Happiness']",3,3,3
COCO_train2014_000000423647.jpg,"['Confidence', 'Excitement']",0,2,2
COCO_val2014_000000461715.jpg,"['Engagement', 'Peace']",2,-1,2
COCO_train2014_000000055276.jpg,['Engagement'],2,1,2
COCO_val2014_000000054277.jpg,"['Anticipation', 'Engagement', 'Excitement']",1,4,4
COCO_train2014_000000528657.jpg,['Engagement'],-1,1,4
frame_b1v3bzyq8s4ucvy1.jpg,"['Anticipation', 'Engagement', 'Happiness']",0,2,3
COCO_train2014_000000552054.jpg,['Engagement'],1,1,2
COCO_val2014_000000107239.jpg,"['Affection', 'Anticipation', 'Engagement', 'Excitement', 'Happiness', 'Pleasure']",2,1,2
COCO_val2014_000000508538.jpg,['Disconnection'],-1,1,0
COCO_train2014_000000563727.jpg,['Engagement'],2,1,2
COCO_val2014_000000182785.jpg,['Engagement'],2,4,2
gs84txnh5el02zkbp9.jpg,"['Anger', 'Aversion', 'Disapproval']",-2,2,1
COCO_train2014_000000408190.jpg,['Anticipation'],3,3,2
frame_aztc78d4kjclxv9e.jpg,"['Anticipation', 'Engagement', 'Happiness']",1,1,1
COCO_train2014_000000432683.jpg,['Confidence'],0,2,3
COCO_train2014_000000137029.jpg,['Excitement'],2,4,2
COCO_train2014_000000298949.jpg,"['Anticipation', 'Engagement']",0,3,3
COCO_train2014_000000524651.jpg,['Happiness'],3,2,2
COCO_train2014_000000053608.jpg,['Engagement'],2,2,3
COCO_val2014_000000482172.jpg,"['Confidence', 'Excitement']",1,2,2
COCO_val2014_000000576031.jpg,"['Anticipation', 'Engagement']",1,5,3
COCO_train2014_000000014103.jpg,"['Excitement', 'Happiness', 'Pleasure']",2,3,3
frame_8bcjgl84a80cguy5.jpg,"['Anticipation', 'Doubt/Confusion', 'Engagement']",0,0,1
frame_bwnq9ntic9dpamg2.jpg,['Engagement'],1,1,2
78tk87458zwsmxaoi7.jpg,"['Disquietment', 'Doubt/Confusion', 'Fatigue', 'Sensitivity', 'Suffering']",-2,-1,-2
frame_6290od7o4jvss70n.jpg,"['Anticipation', 'Doubt/Confusion', 'Engagement']",0,1,0
COCO_train2014_000000498702.jpg,"['Confidence', 'Engagement', 'Esteem', 'Excitement', 'Pleasure']",2,3,3
COCO_train2014_000000261879.jpg,['Engagement'],2,-1,2
COCO_train2014_000000167028.jpg,"['Doubt/Confusion', 'Engagement']",-1,-1,0
h705hnfsvdwf6mh2xw.jpg,"['Anger', 'Annoyance', 'Aversion', 'Engagement']",-2,2,-1
COCO_train2014_000000282027.jpg,['Anticipation'],0,2,2
frame_88u3mzsacaic5583.jpg,['Engagement'],1,1,1
COCO_train2014_000000252375.jpg,"['Anticipation', 'Engagement']",0,2,2
frame_hdepjixs67t3l4zo.jpg,"['Excitement', 'Happiness']",3,1,1
COCO_train2014_000000483078.jpg,"['Anticipation', 'Confidence', 'Excitement']",1,2,0
COCO_val2014_000000110392.jpg,['Engagement'],2,2,4
ab3l4riuiqrc4ivkqk.jpg,"['Disconnection', 'Peace']",-2,0,1
4le1bbiky5djx0iuln.jpg,"['Confidence', 'Esteem', 'Happiness']",1,1,3
COCO_train2014_000000377160.jpg,['Happiness'],3,1,2
COCO_val2014_000000510791.jpg,"['Anticipation', 'Confidence', 'Esteem']",2,0,4
COCO_train2014_000000252801.jpg,['Anticipation'],1,1,2
COCO_val2014_000000108758.jpg,['Confidence'],2,0,2
frame_7qztqnocqk4d67lc.jpg,"['Anticipation', 'Confidence', 'Happiness']",4,5,5
frame_hkvjon62ft6acgnx.jpg,"['Anticipation', 'Confidence', 'Engagement']",0,1,1
COCO_train2014_000000331832.jpg,"['Engagement', 'Peace']",1,3,4
frame_63mtckpdjfc0y9q8.jpg,"['Anticipation', 'Engagement']",2,2,1
COCO_val2014_000000202476.jpg,"['Anticipation', 'Confidence', 'Engagement']",0,3,2
COCO_train2014_000000106596.jpg,['Confidence'],1,2,2
COCO_train2014_000000147012.jpg,['Engagement'],2,2,2
COCO_train2014_000000167397.jpg,"['Engagement', 'Excitement', 'Happiness']",2,2,2
COCO_train2014_000000221625.jpg,"['Anticipation', 'Engagement']",2,2,2
COCO_train2014_000000560391.jpg,"['Disconnection', 'Engagement']",-2,-1,1
COCO_train2014_000000336858.jpg,['Engagement'],1,5,5
COCO_train2014_000000431405.jpg,"['Anticipation', 'Confidence', 'Engagement']",1,4,4
COCO_train2014_000000091159.jpg,"['Annoyance', 'Anticipation', 'Fatigue']",1,-1,2
COCO_train2014_000000389772.jpg,"['Confidence', 'Excitement', 'Happiness']",3,3,4
COCO_train2014_000000024571.jpg,"['Confidence', 'Engagement', 'Excitement']",1,3,2
frame_fvot32utqi78m926.jpg,['Disconnection'],0,-2,-2
COCO_val2014_000000563349.jpg,"['Anticipation', 'Engagement']",2,0,5
COCO_train2014_000000213135.jpg,"['Engagement', 'Excitement']",3,3,2
frame_6npxf90s9ozbfo99.jpg,"['Disconnection', 'Peace']",2,-2,3
COCO_train2014_000000006692.jpg,['Happiness'],2,2,2
COCO_val2014_000000047801.jpg,"['Anticipation', 'Confidence', 'Peace', 'Pleasure']",3,0,4
COCO_train2014_000000441828.jpg,"['Confidence', 'Engagement', 'Excitement']",0,2,2
COCO_train2014_000000087604.jpg,"['Confidence', 'Engagement', 'Excitement']",1,5,2
COCO_train2014_000000042312.jpg,['Engagement'],2,2,2
COCO_val2014_000000509403.jpg,"['Anticipation', 'Esteem', 'Excitement']",1,4,4
COCO_train2014_000000367519.jpg,"['Confidence', 'Excitement']",3,-3,3
COCO_train2014_000000163435.jpg,"['Confidence', 'Engagement', 'Excitement', 'Happiness']",1,1,1
COCO_train2014_000000030299.jpg,['Engagement'],1,3,2
COCO_train2014_000000181929.jpg,"['Confidence', 'Engagement']",2,2,2
COCO_train2014_000000470053.jpg,"['Confidence', 'Engagement', 'Excitement']",2,4,3
COCO_train2014_000000055516.jpg,"['Confidence', 'Excitement']",2,4,3
COCO_train2014_000000219935.jpg,"['Disconnection', 'Engagement']",-2,-2,-2
COCO_train2014_000000129510.jpg,['Anticipation'],1,1,0
COCO_val2014_000000505818.jpg,['Disconnection'],0,-3,0
edknfl4d7l58nt06sm.jpg,"['Annoyance', 'Aversion', 'Fatigue', 'Suffering']",-3,2,-3
COCO_train2014_000000178411.jpg,['Engagement'],4,5,4
COCO_val2014_000000222681.jpg,"['Anticipation', 'Engagement', 'Esteem']",2,2,2
COCO_val2014_000000485090.jpg,"['Anticipation', 'Engagement', 'Excitement', 'Pleasure']",0,0,3
frame_fq5auwuqb7gh7kn6.jpg,['Happiness'],3,2,2
COCO_val2014_000000097924.jpg,"['Anticipation', 'Disquietment', 'Engagement']",2,3,2
COCO_train2014_000000074345.jpg,"['Confidence', 'Engagement', 'Excitement']",2,5,3
COCO_val2014_000000468993.jpg,"['Disconnection', 'Engagement', 'Fatigue']",0,1,2
COCO_train2014_000000246280.jpg,"['Anticipation', 'Engagement']",0,3,2
COCO_val2014_000000148911.jpg,"['Anticipation', 'Engagement', 'Excitement', 'Happiness']",2,4,4
COCO_train2014_000000169863.jpg,"['Anticipation', 'Yearning']",-1,1,5
COCO_val2014_000000552247.jpg,"['Affection', 'Excitement', 'Happiness', 'Pleasure', 'Sympathy']",3,0,2
COCO_train2014_000000552985.jpg,"['Confidence', 'Excitement', 'Happiness']",3,1,3
COCO_train2014_000000186246.jpg,['Engagement'],1,2,3
COCO_train2014_000000412720.jpg,['Engagement'],1,0,4
6h85d8d0rrvntefpkq.jpg,"['Disapproval', 'Sadness']",-2,1,-1
frame_dmt5sh6c2mlvoqp0.jpg,"['Anticipation', 'Engagement', 'Happiness']",3,1,2
COCO_train2014_000000510594.jpg,['Annoyance'],1,2,1
COCO_val2014_000000581328.jpg,['Engagement'],2,2,2
