Filename,Category,Valence,Arousal,Dominance
COCO_val2014_000000562243.jpg,"['Disconnection', 'Doubt/Confusion']",0,-2,4
COCO_train2014_000000288841.jpg,['Anticipation'],1,-1,2
COCO_val2014_000000558171.jpg,"['Engagement', 'Excitement', 'Happiness']",2,3,3
COCO_train2014_000000369575.jpg,"['Aversion', 'Pleasure']",3,4,3
COCO_train2014_000000213009.jpg,"['Confidence', 'Excitement']",2,4,5
COCO_train2014_000000462955.jpg,"['Anticipation', 'Engagement', 'Peace']",-2,1,3
COCO_val2014_000000168683.jpg,"['Anticipation', 'Engagement']",1,2,2
COCO_train2014_000000186198.jpg,"['Anticipation', 'Peace']",2,2,3
COCO_train2014_000000006590.jpg,['Engagement'],2,-1,2
COCO_train2014_000000144608.jpg,"['Fatigue', 'Happiness']",2,2,1
ebpsbjqzfhd7efh00i.jpg,"['Pain', 'Sadness', 'Sensitivity', 'Suffering']",-3,2,-1
COCO_val2014_000000547457.jpg,"['Anticipation', 'Engagement', 'Excitement', 'Happiness']",3,-1,2
COCO_val2014_000000122997.jpg,['Engagement'],0,-2,3
frame_k245twaqc30i5imc.jpg,['Engagement'],2,-1,-3
frame_dkwhvgj0m40g01gs.jpg,['Happiness'],0,-1,4
COCO_train2014_000000179164.jpg,['Yearning'],-3,-2,-2
COCO_val2014_000000121006.jpg,"['Confidence', 'Happiness']",3,1,1
frame_fjgek3oeqc8r0e3o.jpg,['Engagement'],1,2,1
COCO_train2014_000000140322.jpg,['Happiness'],1,2,-2
COCO_train2014_000000497759.jpg,['Disquietment'],0,2,2
COCO_train2014_000000001966.jpg,"['Anticipation', 'Confidence', 'Engagement']",0,4,2
COCO_train2014_000000326320.jpg,['Yearning'],1,-1,2
frame_kuxvwgw2wheq7szc.jpg,"['Anticipation', 'Disquietment', 'Engagement']",-3,2,2
frame_95x221h7yj814qxc.jpg,['Engagement'],2,-1,2
COCO_train2014_000000253959.jpg,"['Happiness', 'Peace']",2,3,-3
COCO_train2014_000000022683.jpg,['Disconnection'],1,2,2
COCO_train2014_000000094268.jpg,['Engagement'],1,1,-3
COCO_val2014_000000231589.jpg,"['Engagement', 'Excitement', 'Happiness']",3,3,3
COCO_train2014_000000423647.jpg,"['Confidence', 'Excitement']",0,2,2
COCO_train2014_000000411109.jpg,"['Anticipation', 'Engagement', 'Esteem']",1,0,2
COCO_val2014_000000461715.jpg,"['Engagement', 'Peace']",2,-1,2
COCO_train2014_000000055276.jpg,['Engagement'],2,1,2
COCO_val2014_000000568202.jpg,"['Engagement', 'Happiness']",-1,-1,-1
frame_erwzk3npaleubsqm.jpg,['Engagement'],2,-3,4
COCO_train2014_000000088609.jpg,['Happiness'],2,-2,2
COCO_val2014_000000054277.jpg,"['Anticipation', 'Engagement', 'Excitement']",1,4,4
COCO_train2014_000000549216.jpg,['Engagement'],1,-1,2
COCO_train2014_000000551481.jpg,"['Engagement', 'Excitement']",1,-1,2
COCO_train2014_000000528657.jpg,['Engagement'],-1,1,4
frame_b1v3bzyq8s4ucvy1.jpg,"['Anticipation', 'Engagement', 'Happiness']",0,2,3
COCO_train2014_000000552054.jpg,['Engagement'],1,1,2
COCO_train2014_000000379034.jpg,"['Anticipation', 'Engagement', 'Esteem']",0,-1,2
COCO_train2014_000000390644.jpg,['Anticipation'],2,2,3
COCO_val2014_000000107239.jpg,"['Affection', 'Anticipation', 'Engagement', 'Excitement', 'Happiness', 'Pleasure']",2,1,2
COCO_train2014_000000322698.jpg,['Anticipation'],1,1,3
COCO_val2014_000000508538.jpg,['Disconnection'],-1,1,0
COCO_train2014_000000563727.jpg,['Engagement'],2,1,2
